author,text
Dickens,"“The will,” said Mr. Brownlow, as Oliver’s tears fell fast."
Dickens,this time. They’re sure of him.”
Poe,"      our North, before we had secured the rod, and had time to think"
Poe,"      of foam which, in the already effervescent liquor, his struggles"
Dickens,“And what have I heard! What have I heard!” cried Rose. “That a sense
Poe,"      “Yes, uncle—that is, if it would be quite agreeable to yourself.”"
Dickens,"“These new friends, then,” said Mr. Brownlow, “were a naval officer"
Poe,      fringed curtains of black velvet which enveloped the bed itself.
Dickens,"detraction, where the blood is called into honest cheeks by aught but"
Dickens,"“and your mother, wholly given up to continental frivolities, had"
Dickens,"The building rang with a tremendous shout, and another, and another,"
Poe,      the details of aerostation.
Dickens,"As the villain folded his arms tight together, and muttered curses on"
Poe,"      reflection I gave a willing assent to this bold proposition,"
Poe,"      carelessly through life, with no thought of the shadows in her"
Poe,      UNCLE. “But Double L. Dee—”
Poe,"      steady flame of a lamp, or the embers of a fire; to dream away"
Poe,"      UNCLE. “Precisely!—the one went east and the other went west, you"
Poe,"      would quit forever its happy recesses, transferring the love"
Dickens,"crowd; giving the listener, for the first time, some adequate idea of"
Poe,      clambered a very few degrees above the horizon—emitting no
Dickens,"considers it an excellent performance, but deems it as well not to say"
Poe,      very few moments I again looked fixedly at the painting.
Poe,"      replete with luxury_, he finds the _incitamentum_, or first cause"
Poe,      themselves with that degree of decorum which might have been
Dickens,"the conclusion of its task; and would weave, for a little longer space,"
Dickens,"over, the same silence and constraint prevailed that had marked their"
Poe,"      from the horizon to the balloon. But the 25,000 feet of altitude"
Poe,"      light of torches. On the first of May, 1812, a cloud of volcanic"
Poe,"      lessons of bygone times are inadequate, and for which I fear"
Dickens,"came a loud knocking at the door, and then a hoarse murmur from such a"
Poe,"      extent, going from west to east, in precisely twenty-four hours."
Dickens,"against a stone, dashed out his brains."
Poe,"      phenomenon, which, however, is quite susceptible of explanation."
Poe,"      the grapnel let go, which took firm hold at once. The inhabitants"
Poe,"      crowd of canvas, the ship is at times lifted bodily from out the"
Poe,"      to the surface of the earth (or sea), would form the"
Dickens,you nothing to say to me?”
Dickens,"striving with his neighbor, and all panting with impatience to get near"
Dickens,looks they could assume. Your mother succeeded; she forgot it soon. But
Poe,      first apparent even to my own perception. But while my lids
Poe,      possess a monopoly of some particular portion of physiognomy.
Poe,      evening with us to-morrow—you and Smitherton—you can tell us all
Dickens,"“Have you nothing else to ask him, sir?” inquired the turnkey."
Poe,"      withered away; and there sprang up, in place of them, ten by ten,"
Dickens,portrait painted by himself—a likeness of this poor girl—which he did
Dickens,"where he had died, leaving his affairs in great confusion. He went; was"
Poe,      such were a few of the most common and least pernicious vagaries
Dickens,description! I always loved that boy as if he’d been my—my—my own
Poe,"      journal, as given, is in the hand-writing of Mr. Mason, and a P."
Dickens,"“The disclosure of to-night,” replied Rose softly, “leaves me in the"
Dickens,"trial on on Friday, and he’ll swing in six days from this, by G—!”"
Dickens,"money was to come to you: for then, and not till then, when both"
Poe,"      I had never loved her. In the strange anomaly of my existence,"
Poe,"      the exception of the ballast, and a few trifles, were suspended"
Poe,      disturbing even the identity of her person! Alas! the destroyer
Poe,      weak. And in sooth some who beheld the portrait spoke of its
Dickens,"of the year. On all such occasions, Mr. Grimwig plants, fishes, and"
Poe,"      ceasing from her struggles, and sinking with her head to the sea."
Dickens,"foolish, then cried, then laughed again—there were scores of faces at"
Poe,"      terrific, beyond the wildest imagination, was the whirlpool of"
Poe,      upon points which happened to chime in with the caprioles of the
Poe,"      waters of the Cheyenne, or Chienne river, which has its source in"
Poe,      and the plant propagates out of its head; the body remains
Dickens,"men, still remained quite helpless and bewildered."
Poe,"      paw, making strenuous efforts to accomplish the ditty."
Poe,"      time within a year or so, for example?—_must_ I say precisely?”"
Poe,"      easily, at a casual glance, have been mistaken for malevolence."
Poe,"      SMITHERTON. “Yes! just one year to a fraction. You will remember,"
Poe,"      the possibility of detecting a vibration. However, as the captain"
Dickens,"“That’s me!” cried the Jew, falling instantly, into the attitude of"
Dickens,“Isn’t there any help for it?” asked the other man in a hoarse voice.
Poe,"      whose dominions are unlimited, and whose name is ‘Death’.”"
Poe,      you for once.”
Dickens,"opportunity to retrieve it as you came along, but you deemed it"
Poe,      Consort. The other exalted personages whom you behold are all of
Dickens,"incredulous, but savouring more of disagreeable surprise."
Dickens,"“Poor Bet! She went to see the Body, to speak to who it was,” replied"
Poe,      epithets as “vast” are merely comparative. The cavern of the
Poe,      conceptions. Yet it is not wonderful that these conceptions are
Dickens,"sense of his helpless, desperate state came in its full intensity upon"
Poe,      the teeth of a gale) as no longer problematical. We could not
Poe,"      (*6) In the year 1790, in the Caraccas during an earthquake a"
Poe,"      whispered me of a violated grave—of a disfigured body enshrouded,"
Dickens,"she never meant to send. She didn’t quite rely, however, on their"
Poe,"      telescopes, barrels containing provision for a fortnight,"
Poe,"      the ship to be within the influence of some strong current, or"
Poe,      parallel. In this manner the horizon of the æronaut would appear
Poe,      (*1) The coralites.
Poe,      made no great shifting of our ballast. The main fury of the blast
Poe,      SMITHERTON. (Much surprised.) “What are you all thinking about?
Poe,"      looked beautifully. In about ten minutes after starting, the"
Poe,      the same as five hundred. In vain we besieged the old gentleman
Poe,"      the car end, (by a swaying of the car through some movement of"
Poe,"      obtained our first view of the Bristol Channel; and, in fifteen"
Poe,"      followed under easy sail by the redoubtable Hugh Tarpaulin, who,"
Dickens,matter was enveloped in enough of doubt and mystery to leave them in
Dickens,that Sikes is dead; that Monks has confessed; that there is no hope of
Poe,"      that wave, and now we felt that he had enkindled within us the"
Dickens,"chair, “When your brother: a feeble, ragged, neglected child: was cast"
Dickens,"history of the sister’s shame, with such alterations as suited her;"
Dickens,To him they brought despair. The boom of every iron bell came laden
Poe,      following speech:
Poe,      sufficient to enable us to pass them in safety. In a few minutes
Dickens,murdered woman lay in the next room.
Poe,"      marlin-spike, that as for the matter of two or three gallons more"
Dickens,"Bolter turns King’s evidence: as of course he will, from what he’s said"
Dickens,"hung down upon his bloodless face; his beard was torn, and twisted into"
Dickens,"plan is, to walk out once a week during church time attended by"
Dickens,inquire the truth of the story when you overtook me. I didn’t know the
Dickens,“How came that dog here?” he asked.
Poe,      ineffective? All in the immediate vicinity of the ship is the
Dickens,"“Fagin,” said Mr. Brownlow; “what of him?”"
Poe,"      jade, and they both have gone quite round the world. By the by,"
Poe,     Sub conservatione formæ specificæ salva anima.
Dickens,direction where he stood. The shouts grew louder as new voices swelled
Poe,      purpose to which it has been applied. I mean its extreme
Dickens,"listening attitude, and looked intently at his questioner while the"
Dickens,"hope of mercy, but that he had never been able to consider more than"
Dickens,"passed, he walks beneath tottering house-fronts projecting over the"
Poe,"      ascendancy. This monomania, if I must so term it, consisted in a"
Dickens,cold formalities were succeeded by open taunts; how indifference gave
Poe,"      thought, with Horsley, that “the people have nothing to do with"
Poe,"      Opposite him, and with her back to the door, was a lady of no"
Dickens,"said Mr. Brownlow, slowly, and fixing his eyes upon the other’s face,"
Poe,"      our family, and wear the insignia of the blood royal under the"
Poe,      delight for that of a whole century of ordinary existence.
Poe,"      the picture in an absolute life-likeliness of expression, which,"
Dickens,"amongst ’em; I can see the people jumping up, one behind another, and"
Poe,      creatures the most room that is compatible with the greatest
Dickens,"deep and fifteen or twenty wide when the tide is in, once called Mill"
Poe,"      and from day to day. And he was a passionate, and wild, and moody"
Dickens,"in the same words, over and over again, as if he had gone distracted. I"
Dickens,"shut the faces out, “the tide was in as I came up. Give me a rope, a"
Dickens,"darted onward—straight, headlong—dashing through brier and brake, and"
Poe,"      dimpled into an expression of ghastly affability, and his eyes,"
Dickens,"All the windows in the rear of the house had been long ago bricked up,"
Dickens,"waking up, and pulling his pocket-handkerchief from over his head."
Poe,      (*33) The Daguerreotype.
Dickens,"after this frightful scene, and was so weak that for an hour or more,"
Dickens,he has not even spirits to be thankful for being separated from his
Poe,"      just beyond the gates of the city, proceeds to the southward,"
Poe,      must take a nap. We cannot be far from the American coast.
Poe,"      alight as near Paris as possible, the voyagers had taken the"
Poe,      and antique. Its walls were hung with tapestry and bedecked with
Poe,"      nevertheless, for your unhallowed intrusion upon our councils,"
Poe,"      head erect themselves on end, and the blood of my body become"
Poe,"      noise, like that occasioned by the rapid revolution of a"
Poe,"      cast of spars, her huge size and overgrown suits of canvas, her"
Dickens,"It appeared, on full and careful investigation, that if the wreck of"
Dickens,"your cradle were gall and bitterness to your own father’s heart, and in"
Dickens,"caught your whispers, and brought them to my ear; the sight of the"
Poe,      customary carvings of a ship. A single row of brass cannon
Dickens,offspring of a guilty and most miserable love. You have not forgotten
Dickens,"“Let me go into some other room,” said the boy, retreating still"
Dickens,untiring discharge of domestic duties at home; I would paint her and
Dickens,"was still thrust forward, his under-jaw hanging down, and his eyes"
Dickens,his head thrust forward to enable him to catch with greater
Poe,"      twenty-four hours; that is to say, I am a day in advance of your"
Poe,      length of his companion’s speech than at the nature of his
Poe,"      the second era of my existence, I feel that a shadow gathers over"
Dickens,"to attach the handkerchief to his throat, he uttered a low growl and"
Dickens,have done. She burnt this will. The letter never reached its
Poe,"      lake. I am more struck, just now, with the supreme silence which"
Poe,"      sleep, at least alternately to the contemplation of these"
Poe,"      ebony and silver, and was smoother than all save the cheeks of"
Poe,      the principle of my concealment. I was unwilling to trust myself
Dickens,A PROPOSAL OF MARRIAGE WITH NO WORD OF SETTLEMENT OR PIN-MONEY
Dickens,"“The end of a year found him contracted, solemnly contracted, to that"
Poe,"      some frivolous device on the margin, or in the typography of a"
Poe,      and was loaded with spiral exhalations similar to those arising
Poe,"      companions, sat a personage who appeared to be the president of"
Dickens,"in sullen defiance to and fro, and Mr. Brownlow had sat, shading his"
Dickens,"He stood there, in all this glare of living light, with one hand"
Poe,      that yesterday was Sunday as I am that I sit upon this chair.”
Poe,"      principally of Malays, stretched themselves deliberately upon"
Poe,      sake of human knowledge and—for the vastness of the triumph. And
Dickens,"unprecedented manner, but always maintaining with his favourite"
Poe,"      our royal ears—this apartment, I say, is the Dais-Chamber of our"
Poe,"      terrible ascendancy, as, with the most vivid hideous"
Poe,      about the wood which strikes me as rendering it unfit for the
Poe,"      As I fell, the ship hove in stays, and went about; and to the"
Dickens,were morally if not really a party.”
Poe,"      horrors.” His jaws, which had been newly shaved, were tightly"
Dickens,"nervous and uncomfortable. They sat wondering, in silence; or, if they"
Dickens,"some old haunt, and there seems little doubt that his master either is,"
Poe,      violence of the wind; but we looked forward to its total
Poe,"      a book, and to a sentence underscored therein. The words were the"
Dickens,"the roar, and he could hear the cry of Fire! mingled with the ringing"
Poe,"      “_If_ you please, uncle—precisely.”"
Poe,      with any other phenomenon presenting itself. The waters give up
Poe,"      which streamed down the sides of the vast chasm where we lay, and"
Dickens,"before, and left him with two children—there had been more, but, of all"
Poe,      without ceremony into the huge open puncheon of his beloved ale.
Dickens,"“If they have—I do not know how they can, but if they have—any"
Dickens,"melancholy and yet sweet and soothing—how the two orphans, tried by"
Poe,      hating only the Art which was her rival; dreading only the pallet
Dickens,"noble nature. If he were disappointed in this expectation, then the"
Poe,      of the River of Silence at our images therein. We spoke no words
Poe,"      beneath the serpent-like trees, and looked down within the water"
Poe,"      days of warmth, men have called this element and temperate time"
Dickens,"interruption, “in a part of the country to which your father in his"
Dickens,"that to see me once again, for the last time on earth. Alas! _That_ was"
Dickens,"tell you out at once. He may kill me for it if he likes, or if he"
Poe,"      (*1) Moraux is here derived from moeurs, and its meaning is"
Poe,"      insect travels up both the _Rota_ and _Ferriri_ trees, and"
Poe,      minutes.
Dickens,"the old house where I was a little child! Oh Dick, Dick, my dear old"
Poe,      He was not allowed to finish this speech in tranquillity. At the
Poe,"      first half hour, of either the screw or the rudder. We proceed"
Dickens,He and the two ladies had been very carefully made acquainted by Mr.
Dickens,"looking, with horror in his eyes, upon the murderer’s face. “You"
Poe,"      grapnel, and a guide-rope; which latter is of the most"
Dickens,"recollections, that it became a solemn pleasure, and lost all character"
Poe,"      in a ridiculous manner, with a fit of what Tarpaulin called “the"
Dickens,He came upon the spot. There were half-dressed figures tearing to and
Dickens,refreshment. He took some bread and meat; and as he drank a draught of
Poe,"      _Mr. J. B. Williams, of Salem, Mass._, presented the “National"
Dickens,months: keeping to all appearance the same low haunts and mingling with
Poe,"      welfare of that unearthly sovereign whose reign is over us all,"
Poe,      His face was as yellow as saffron—but no feature excepting one
Dickens,and fervent thanks to Him who had protected and preserved them—these
Dickens,"A slight bustle in the court, recalled him to himself. Looking round,"
Dickens,as you had ever done: sometimes for days together and sometimes not for
Poe,      morning—among the trellised shadows of the forest at noonday—and
Poe,"      Palace, devoted to the councils of our kingdom, and to other"
Dickens,"sat there, awake, but dreaming. Now, he started up, every minute, and"
Dickens,"not fly alone—and never see it more. Even from me, his old and early"
Poe,      the mean time my own disease—for I have been told that I should
Poe,      He pointed to garments;—they were muddy and clotted with gore. I
Poe,"      which bore us on, and in place of beating back to Paris, make an"
Dickens,"want to talk to you, my dear. I want to talk to you.”"
Poe,      novel and extraordinary form—hourly and momently gaining
Dickens,"earth, to visit spots hallowed by the love—the love beyond the grave—of"
Dickens,were making; whether his instinct apprehended something of their
Poe,"      introduced, when the acid, immediately coming in contact with the"
Dickens,"anticipating the law; this ceremony performed, they led him to one of"
Dickens,"what you want. Quick, if you please, for he grows worse as the time"
Dickens,"“or is that little Oliver? Oh O-li-ver, if you know’d how I’ve been"
Dickens,"shrieked with surprise to see; for they told him it was his brother,"
Poe,"      Long, long I read—and devoutly, devotedly I gazed. Rapidly and"
Poe,"      distances from the revolving vanes, and likewise from the centres"
Poe,      results.”
Dickens,"“Well, they were separated,” said Monks, “and what of that?”"
Dickens,"and those, and those alone, are all I have to offer.”"
Poe,      seen an object at twenty paces from the ship. Eternal night
Dickens,had left that part a week before; they had called in such trifling
Poe,"      Saturday morning, the 6th instant, in the Court-Yard of Weal-Vor"
Dickens,"under an attack of his old disorder, and died in prison. As far from"
Dickens,"of warehouses that rise from every corner. Arriving, at length, in"
Poe,"      throwing open one of the doors of the library, saw standing out"
Poe,"      lose all sense of motion or physical existence, by means of"
Dickens,"lay down in a lane, and had a long, but broken and uneasy sleep. He"
Dickens,"Crackit intimated, by a motion of his hand as he left the room, that"
Dickens,oppressive overwhelming sense of the grave that opened at his feet; it
Poe,"      candle burned upon the poop without the least perceptible motion,"
Poe,"      Thus it will appear that, shaken from its balance only by trivial"
Dickens,"“What has the name to do with it?” asked the other, after"
Dickens,"“Well, I thought you’d have been a little more glad to see me than"
Dickens,"“You will see him soon,” replied Rose, gently taking his folded hands"
Poe,"      among the Appennines, not less in fact than in the fancy of Mrs."
Dickens,"whose nose had been almost beaten in, in some old scuffle, and whose"
Poe,"      never-to-be-imparted secret, whose attainment is destruction."
Dickens,care that neither of you is employed in a situation of trust again. You
Poe,"      length the valley pained me through its memories of Eleonora, and"
Poe,      (*1) _Note_.—Mr. Ainsworth has not attempted to account for this
Poe,      tortured uncomplainingly. The mountainous surges suggest the idea
Poe,      sunlight from its sweetest recesses. No path was trodden in its
Dickens,"three, that the wretched man was willing to propitiate even this lad."
Dickens,"on all who trod it with her, and shone into their hearts. I would paint"
Dickens,"clanking of the engine-pumps, and the spirting and hissing of the water"
Poe,"      rapidly upon me, and assumed finally a monomaniac character of a"
Dickens,stopped. The two men looked at the old gentleman as if for
Poe,"      first supposed, an extreme condition, or exaggeration of such"
Dickens,bridge. One man on horseback seemed to be among the crowd; for there
Dickens,"or inlet from the Thames, and can always be filled at high water by"
Poe,"      enabled us to lie down, and by means of cloaks and a few"
Dickens,"“You know the fact, and that’s enough for me.”"
Dickens,on the one hand and his hatred on the other: the door was hurriedly
Poe,"      the green carpet faded; and, one by one, the ruby-red asphodels"
Poe,      became more dismally appalling. At times we gasped for breath at
Dickens,"Hell-babe,” cried Sikes fiercely; running to and fro, and dragging the"
Poe,"      propensity common to all mankind, and more especially indulged in"
Dickens,"galleries, all looks were fixed upon one man—Fagin. Before him and"
Poe,      crossed it in a balloon! God be praised! Who shall say that
Poe,"      alone,) in the inner apartment of the library. But, uplifting my"
Poe,      in circumference. Now this globe of the earth turns upon its own
Poe,"      acceptance of the vow, (for what was she but a child?) and it"
Dickens,hurried him into the house. This man was Monks.
Poe,"      any notice, among a pile of ratlin-stuff and old sails in the"
Poe,"      converge to a point like the wires of a mouse-trap, and being"
Dickens,"“It was the partial disclosure of your secrets,” replied Mr. Brownlow."
Poe,      vacillating and indistinct an outline? I could not tell. She
Poe,      inviolable. Now it was this latter peculiarity in his
Poe,"      dreams, portents, et id genus omne of rigmarole. He was"
Poe,"      flash across my mind a sensation of familiar things, and there is"
Dickens,"night on which they sat with the watch between them, waiting his"
Poe,"      all my strength, and presently he came reeling aft. We soon"
Dickens,"gratitude to that Being whose code is Mercy, and whose great attribute"
Poe,      now presented to him is beyond conception singular and desolate.
Poe,"      and lustreless, and seemingly pupilless, and I shrank"
Poe,"      about a league on either side of us, may be seen, indistinctly"
Dickens,Mr. Brownlow; “it is because the hopes and wishes of young and happy
Poe,"      Berenice and I were cousins, and we grew up together in my"
Poe,"      About noon, as nearly as we could guess, our attention was again"
Poe,      Sunday.”
Poe,"      vividly is her image before me now, as in the early days of her"
Dickens,Oliver too—quite the gentleman now—quite the—take that boy away to
Dickens,"“Double-locked and chained,” replied Crackit, who, with the other two"
Dickens,you look so sad? There are tears stealing down your face at this
Dickens,and pointing out at the carriage window; “that’s the stile I came over;
Dickens,agitation of his companion. “What is the name to me?”
Dickens,"to events which cast a shade upon the memory of your parent, or will"
Dickens,the doctor and Mr. Brownlow: some people affirm that Harry Maylie had
Dickens,“No. The people were poor and began to sicken—at least the man did—of
Poe,"      many days afterward, tranquilly dying, that, because of what I"
Poe,      real danger was at any time apprehended. The balloon was
Poe,"      admirable _Juif Errant_, which may possibly have been suggested"
Poe,      I have been looking at the timbers of the ship. She is built of a
Poe,      believe it our duty to mulct thee and thy companion in each a
Poe,      golden and gorgeous glories from the Valley of the Many-Colored
Dickens,determined to make one last effort for his life by dropping into the
Dickens,"“It is a true tale of grief and trial, and sorrow, young man,” returned"
Poe,      with importunities. Here was a piece de resistance (as Messieurs
Dickens,"quarter, “to the man who takes him alive. I will remain here, till he"
Dickens,"“The father of the unhappy Agnes had _two_ daughters,” said Mr."
Dickens,placed upon the table. The terrible events of the last two days had
Poe,      know.”
Dickens,"window-shutters as he ceased to speak, and a loud huzzah burst from the"
Poe,      cryptogamous _fungus_ that emits an intense phosphorescence.
Poe,"      in almost every respect, we had received considerable injury; but"
Poe,      forced me to make use of it. A man passed by my place of
Poe,"      succeeded the sound of troubled voices, intermingled with many"
Dickens,exceed the cry of the infuriated throng. Some shouted to those who were
Dickens,"“but to hear you repeat it, if you would. I was to lay whatever of"
Poe,"      altogether the same route, and that makes a difference, you"
Poe,"      accordance with the terms of the mulct or sentence, which is in"
Poe,      of the rudder we instantly effected the necessary change of
Poe,"      ballast, arranged in bags of different sizes, with their"
Dickens,"“It’s a trying thing waiting supper for lovers,” said Mr. Grimwig,"
Poe,"      pack-thread, at the first breath of the hurricane, or we should"
Poe,      “It becomes our duty upon the present happy occasion—”
Dickens,"own!—there stands a rustic dwelling which you can make me prouder of,"
Dickens,"unlocked, and a gentleman (Mr. Losberne) entered the room in violent"
Poe,      delirious bliss over the Valley of the Many-Colored Grass. A
Poe,      Grace the Duke Pest-Ilential’—‘His Grace the Duke Tem-Pest’—and
Poe,      (*3) The Mammoth Cave of Kentucky.
Poe,"      the rays of my destiny are, I think, gathering to a focus."
Dickens,"his capture, and they tell me he cannot escape. A reward of a hundred"
Poe,"      me, as you say. But I am a man of my word—mark that! you shall"
Dickens,and some fanning themselves with handkerchiefs; for the crowded place
Dickens,"the dock, away into the sharpest angle of the smallest corner in the"
Dickens,"of an alarm-bell, the fall of heavy bodies, and the crackling of flames"
Poe,"      had ventured upon deck and thrown myself down, without attracting"
Poe,      went as passenger—having no other inducement than a kind of
Poe,"      “_Saturday, April the 6th_.—Every preparation likely to embarrass"
Dickens,startling thing to have the honour of a wisit from a young gentleman
Dickens,"alacrity, shortly returned, pushing in Mrs. Bumble, and dragging her"
Poe,"      in loud tones, of the love and of the glory of God."
Dickens,If you complain of being deprived of your liberty—you had power and
Poe,      of a holy perfume floated ever and ever about the valley; and at
Dickens,"death-bed when he was yet a boy, on the morning that would—but Heaven"
Dickens,"into which family pride, and the most sordid and narrowest of all"
Dickens,"“Do my hi’s deceive me!” cried Mr. Bumble, with ill-feigned enthusiasm,"
Poe,"      “Hush, sir!” (drowning my voice)—“I’ll oblige you for once. You"
Dickens,"afraid of him—if they come here after him, I’ll give him up; I will. I"
Poe,"      _till_ then—you young scapegrace—not _till_ then, if I die for"
Dickens,"smoke and flame, but never ceasing to engage himself wherever noise and"
Poe,      With the lady in question this portion proved to be the mouth.
Dickens,"real disgrace and shame; but a home—a heart and home—yes, dearest Rose,"
Poe,"      concentric circles, round and round the borders of a gigantic"
Dickens,"There was a short silence here, until Mr. Brownlow took up the thread"
Poe,      nullity.
Dickens,"murder. “He has gone to Birmingham, they say,” said one: “but they’ll"
Dickens,“The eyes again!” he cried in an unearthly screech.
Dickens,"outside, greeting the news that he would die on Monday."
Dickens,"kens of course, and finding them filled with strangers come on here,"
Poe,"      distinctly these remembrances, was the sole daughter of the only"
Dickens,"you spare it, and disclose to me the truth?”"
Dickens,limped away with extraordinary readiness. But not again did he return
Poe,      following turn:
Dickens,"ascended a flight of narrow steps, and came into a passage with a row"
Dickens,"was to conduct them. “It’s not a sight for children, sir.”"
Poe,      sacred and lofty purposes.
Poe,"      There is scarcely, perhaps, a spectacle on the surface of the"
Dickens,minority he should never have stained his name with any public act of
Poe,"      was a dim, sliver-like rim, alone, as it rushed down the"
Poe,"      attention thus excited by objects in their own nature frivolous,"
Dickens,a vent in a hideous disease which had made your face an index even to
Poe,"      arose in our paths; for the tall flamingo, hitherto unseen, with"
Poe,      the epoch of this story—for story it is getting to be after
Poe,"      melody that had been softer than the wind-harp of Æolus, and more"
Poe,"      balloon must necessarily exhaust all its resources, and come to"
Poe,"      in the silence of my library at night—she had flitted by my eyes,"
Poe,      to her of marriage.
Dickens,"received them from the mother is rotting in her coffin_.’ Unworthy son,"
Poe,"      (*14) The orchis, scabius and valisneria."
Poe,"      the table. His stature was gaunt and tall, and Legs was"
Poe,      “The guide-rope remedies the difficulty in the simplest manner
Poe,"      of the violet ray of the spectrum, vibrated 900,000,000 of times"
Dickens,"Brownlow. “I speak of fifteen years ago, when you were not more than"
Poe,"      inconceivable; the guide-rope flying out behind the car, like a"
Poe,"      fifteen feet in length, and from half a foot to three feet in"
Dickens,"This mad excitement over, there returned, with ten-fold force, the"
Dickens,"many there—could he read the faintest sympathy with himself, or any"
Dickens,"“When your brother,” said Mr. Brownlow, drawing nearer to the other’s"
Dickens,need not tell you he was snared away before I knew his history—”
Poe,"      must, to speak seriously, have felt very ill at ease in his"
Poe,      pressing of spiritual lips upon my own.
Poe,      handkerchief placed at the distance of six inches from the
Poe,      old villain loved me as his own child—nearly if not quite as well
Poe,"      Her rigging, build, and general equipment, all negative a"
Poe,"      KATE. (Jumping up eagerly.) “I see it—I see it all. Papa, this is"
Poe,      in no manner possible to convey to the mind of the merely general
Poe,      With deep and reverent awe I replaced the candelabrum in its
Poe,      which (strange to say) met with objection from the two seamen
Poe,      six weeks.
Poe,      life—wonderful how total an inversion took place in the character
Dickens,"Suddenly, he took the desperate resolution to going back to London."
Poe,      consisting of a newly starched and ironed shroud coming up close
Poe,      “A sentence!—a sentence!—a righteous and just sentence!—a
Poe,"      il bon?” he was in the habit of quoting, with a very droll"
Poe,"      felt that their possession could alone ever restore me to peace,"
Poe,"      Prince’s statement, although a grossly exaggerated one. The germ,"
Dickens,me with astonishment. Even when I first saw him in all his dirt and
Poe,"      resources, either in gas or ballast, remain comparatively"
Dickens,"assembled; the windows were filled with people, smoking and playing"
Poe,      entertained a profound contempt. With this he had been inspired
Dickens,"“Certainly not,” replied the matron. “Why are we brought here to answer"
Poe,"      pallid, and aghast, and crying with a loud voice, ‘This is indeed"
Dickens,"his early friend, that awakened in his own bosom old remembrances,"
Poe,      readily in the atmospheric air.
Dickens,"moved, and share their happiness by endeavouring to depict it. I would"
Dickens,"gently now—yes, Edward Leeford, even now—and blush for your"
Poe,"      extremely long, thin, sinuous, flexible and pimpled, hung down"
Poe,"      continually bobbing into the aperture. She made, however, every"
Poe,"      I saw at once that the peculiarities of the design, of the"
Poe,      till it goes on.”
Poe,"      sodales si sepulchrum amicae visitarem, curas meas aliquantulum"
Dickens,in the outskirts agreed upon between them.”
Poe,"      in taking to thy passionate heart her who is Ermengarde, thou art"
Poe,"      and the Indian territory, one mile at least in breadth; it took"
Poe,"      burning pleasure in his task, and wrought day and night to depict"
Dickens,"“The tide,” cried the murderer, as he staggered back into the room, and"
Dickens,"advocate the dearest interests of others, I have not the right.”"
Dickens,"Chitling, his countenance falling more and more, “and went off mad,"
Dickens,"an informer, in which calling he realises a genteel subsistence. His"
Poe,"      disease, and were such as would have occurred, under similar"
Poe,"      and aft, swept the entire decks from stem to stern."
Dickens,"answered in the negative, communicated the welcome intelligence to"
Poe,"      NOTE.—The “MS. Found in a Bottle,” was originally published in"
Poe,"      condition, we should inevitably perish in the tremendous swell"
Poe,"      whole voyage was completed in seventy-five hours; or rather less,"
Dickens,"through which came the sound of men’s voices, mingled with the noise of"
Poe,"      While we were endeavoring to regain it, our attention being"
Poe,      indeed. Captain Smitherton says that yesterday was Sunday: so it
Dickens,which house the back commanded the ditch in manner already
Poe,"      valley, from the river to the mountains that girdled it in, were"
Poe,      rising of the sun here at London by just one hour. I see the sun
Dickens,"current of angry faces, with here and there a glaring torch to lighten"
Poe,      mind with a very common error of this age—I mean the habit of
Dickens,"He planted a board, which he had carried up with him for the purpose,"
Poe,"      line packets. Endeavored to make out her name, but could not be"
Dickens,"his arms above his head, and uttered a yell of terror."
Poe,"      its nature Median, and not to be altered or recalled. The"
Poe,"      point, since we move _with_ the air so completely. I have not"
Poe,"      and to the left, and we are whirling dizzily, in immense"
Dickens,"show Rose Maylie in all the bloom and grace of early womanhood,"
Poe,"      thirty vessels of various kinds, and all seem to be delightfully"
Dickens,"dead of night, the street was left to solitude and darkness."
Poe,"      anything I had imagined possible, and that we were not instantly"
Poe,"      I’ll explain it all in a minute. It’s a very simple thing,"
Dickens,"“No, no,” said the other, looking round her and wagging her toothless"
Dickens,stranger. I am very glad you have changed it—very—very.”
Poe,      into the turret; for the painter had grown wild with the ardor of
Poe,"      pronunciation, as the ne plus ultra of logical wit. Thus my own"
Dickens,see him a-setting here among ladies and gentlemen of the very affablest
Dickens,"himself, but the result is the same."
Poe,      “Treason!” growled he of the coffin.
Dickens,property remaining in the custody of Monks (which had never prospered
Poe,      _concave_.(*1)
Poe,"      deck, and I saw him no more."
Poe,      gloriously the hours flew by and the deep midnight came. The
Poe,"      extend from the right angle to the horizon, and the hypothenuse"
Poe,      to the recollection of what constitutes the second great era of
Poe,      stability of structure.
Dickens,deprive the elder son of the opportunity of retrieving his former vices
Poe,"      proportion, than the one appended to the model. It is formed of a"
Dickens,"“Oh Harry, Harry,” said the young lady, bursting into tears; “I wish I"
Dickens,"those who have the courage; and there they live, and there they die."
Dickens,"sadly lost; I would summon before me, once again, those joyous little"
Poe,      with some of the small grabs of the Archipelago to which we were
Poe,"      us, we made a rough estimate of the distance traversed. It could"
Poe,"      change fell upon all things. Strange, brilliant flowers,"
Dickens,"creature that ever shed happiness on every one she knew,” said Mrs."
Poe,"      something of the wisdom which is of good, and more of the mere"
Poe,      Eleonora before Love entered within our hearts. It was one
Dickens,"stretching themselves as if glad of the temporary relief, and motioned"
Poe,      scattered mathematical instruments of the most quaint and
Poe,"      to each square yard, gives 2,230,272,000 Pigeons.—“_Travels in"
